razon_social,nombre_producto,numero_autorizacion,especies_autorizadas
"Harinas, S.A. de C.V.",Top Dog Nutrition Adultos,A-7733-004,can
"Harinas, S.A. de C.V.",Bravery Iberian Pork Adult Small Breeds,A-1204-572,can
"Harinas, S.A. de C.V.",Pmx Ini Pollo Sp V6,A-5076-718,ave eng
Aalak Food Sapi de C.V.,Nutrition Premim Plus Cachorros Razas Pequeñas,A-9459-004,can
"Aalak Food, S.A.P.I. de C.V.",Nutrition Premium Plus Adulto Razas Medianas & Grandes,A-9459-001,can
"Aalak Food, S.A.P.I. de C.V.",Nutrition Premium Plus Cachorro Razas Medianas & Grandes,A-9459-003,can
"Aalak Food, S.A.P.I. de C.V.",Nutrition Premium Plus Adulto Razas Pequeñas,A-9459-006,can
"Aansa Nutrition Animal, S. de R.L. de C.V.",Bx Booster,A-10912-001,aves
"Aansa Nutrition Animal, S. de R.L. de C.V.",Premix Postura,A-10912-002,aves
"Aansa Nutrition Animal, S. de R.L. de C.V.",Premix Inicio Pollo,A-10912-003,ave eng
"Aansa Nutrition Animal, S. de R.L. de C.V.",Premix Crianza Polla,A-10912-005,ave (productoras de huevo)
"Ab Calsa, S.A. de C.V.",Vistacell,A-9282-002,"ave (engorda) por bov (leche y carne, terneras) ovi"
"Ab Calsa, S.A. de C.V.",Vistabet 96%,A-9282-014,"ave, por, bov"
"Ab Calsa, S.A. de C.V.",Vistapre-T,A-9282-005,bov
"Ab Wise, S. de R.L. de C.V.",Toxybind Perfect,A-10728-001,"ave, por, bov, equi, ovi, cap, can, fel"
"Ab Wise, S.R.L. de C.V.",Enzapro,A-10785-001,"cer, aves"
Abastecedores Pecuarios Lozano S.A. de C.V.,Optimizor Basting 30,A-0730-030,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguetes de Carnaza Para Perro Naturales,A-0730-101,entretenimiento y ejercicio bucal para perros
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguetes de Carnaza Para Perro Extruido,A-0730-103,entretenimiento y ejercicio bucal para perros
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Hide Free,A-0730-105,sin dato
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Hide Free Con Pollo,A-0730-106,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Coated Beef,A-0730-108,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete Vegetal Para Perro,A-0730-200,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Chicken Jerky,A-0730-201,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Basteado Sabor Cet,A-0730-301,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Basteado Sabor Pollo Natural,A-0730-302,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Basteado Sabor Enzimas Apelsa,A-0730-304,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Basteado Sabor Nb Strixx,A-0730-305,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Basteado Sabor Chx,A-0730-306,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Basteado Sabor Enzimas Apelsa Extruido,A-0730-308,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Basteado Sabor Enzimas Apelsa 14H,A-0730-310,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Basteado Sabor Enzimas Apelsa 14H Extruido,A-0730-311,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Basteado Sabor Enzimas Apelsa 14H Breakables,A-0730-312,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Colágeno Basteado Sabor Tocino,A-0730-321,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Colágeno Basteado Sabor Res,A-0730-322,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Colágeno Basteado Sabor Pollo,A-0730-323,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Colágeno Basteado Sabor Granola,A-0730-324,can
