razon_social,nombre_producto,numero_registro,especies_aprobadas_para_su_uso
"Adler Pharma, S. de R.L. de C.V.",Advac Triple Aviar Plus,B-0970-005,ave
"Adler Pharma, S. de R.L. de C.V.",Advac Viruela Aviar,B-0970-006,ave
"Adler Pharma, S. de R.L. de C.V.",Advac Newcastle,B-0970-007,ave
"Adler Pharma, S. de R.L. de C.V.",Adbac Triple Bovina,B-0970-009,"bov, ovi, cap, equ"
"Adler Pharma, S. de R.L. de C.V.",Adbac 7 Vias,B-0970-010,"bov, ovi"
"Adler Pharma, S. de R.L. de C.V.",Adbac 11 Vias,B-0970-011,"bov, ovi, cap"
"Adler Pharma, S. de R.L. de C.V.",Adbac Doble Bovina,B-0970-012,"bov, ovi y cap"
"Adler Pharma, S. de R.L. de C.V.",Adbac 8 Vias,B-0970-013,"bov, ovi, c ap"
"Adler Pharma, S. de R.L. de C.V.",Adbac Fiebre Carbonosa,B-0970-014,"bov, ovi, cap, equ, por"
"Adler Pharma, S. de R.L. de C.V.",Adbac Lepto Ii,B-0970-016,"bov, por"
"Adler Pharma, S. de R.L. de C.V.",Advac Puppy Parvo,B-0970-018,can
"Adler Pharma, S. de R.L. de C.V.",Advac Puppy Triple,B-0970-020,can
"Adler Pharma, S. de R.L. de C.V.",Advac Puppy Parvo Corona,B-0970-024,can
"Adler Pharma, S. de R.L. de C.V.",Advac Puppy Pad,B-0970-025,can
"Adler Pharma, S. de R.L. de C.V.",Adbac Respisafe,B-0970-026,bov
"Adler Pharma, S. de R.L. de C.V.",Advac Puppy Corona,B-0970-028,can
"Adler Pharma, S. de R.L. de C.V.",Advac Puppy Parvo V/V,B-0970-030,can
"Adler Pharma, S. de R.L. de C.V.",Advac Triple Aviar Ca,B-0970-031,ave
"Adler Pharma, S. de R.L. de C.V.",Advac Derriler,B-0970-033,"bov, equ, ovi, cap"
"Bio Zoo, S.A. de C.V.",Vacuna Contra la Fiebre Carbonosa,B-0104-015,"bov, equ, por, ovi, cap"
"Bio Zoo, S.A. de C.V.",Vacuna Contra la Viruela Aviar,B-0104-019,ave
"Bio Zoo, S.A. de C.V.",Vacuna Contra Newcastle Cepa la Sota,B-0104-028,ave
"Bio Zoo, S.A. de C.V.",Triple Aviar Pm,B-0104-091,ave
"Bio Zoo, S.A. de C.V.",Vacuna Triple Canina,B-0104-095,can
"Bio Zoo, S.A. de C.V.",Vacuna Parvo-Corona,B-0104-096,can
"Bio Zoo, S.A. de C.V.",Corinmune Abc,B-0104-097,ave
"Bio Zoo, S.A. de C.V.",Corinmune Abc+Nc,B-0104-098,ave
"Bio Zoo, S.A. de C.V.",Bacterina Triple Bovina,B-0104-100,"bov, cap, ovi, equ"
"Bio Zoo, S.A. de C.V.",Bacterina Biobac 7 Vias,B-0104-101,"bov, cap, ovi"
"Bio Zoo, S.A. de C.V.",Vacuna Contra el Derriengue,B-0104-105,"bov, equ, por, ovi, cap"
"Bio Zoo, S.A. de C.V.",Inmunovax Dpa2,B-0104-108,can
"Bio Zoo, S.A. de C.V.",Viroguard,B-0104-110,bov
"Bio Zoo, S.A. de C.V.",Inmunovax 5 Dpa2 H-L,B-0104-112,can
"Bio Zoo, S.A. de C.V.",Inmunovax 7 Dpa2Cpi-L,B-0104-117,can
"Bio Zoo, S.A. de C.V.",Inmunovax Rabia,B-0104-215,"can, fel"
"Bio Zoo, S.A. de C.V.",Inmunovax 3 Dh-L,B-0104-217,can
"Bio Zoo, S.A. de C.V.",Inmunovax Parvo-Corona,B-0104-218,can
"Bio Zoo, S.A. de C.V.",Vacuna Parvovirus Canino,B-0104-219,can
"Bio Zoo, S.A. de C.V.",Triple Aviar + Coriza,B-0104-220,ave
"Biogenesis Bago de México, S.A. de C.V.",Bagovac Rabia,B-0688-001,"can, fel"
"Biogenesis Bago de México, S.A. de C.V.",Rabia Paresiante,B-0688-002,bov
"Biológicos Provacuna, S.A. de C.V.",New Vac S,B-10073-005,ave
"Biológicos Provacuna, S.A. de C.V.",Prova Gumb Heavy,B-10073-003,ave
"Biológicos Provacuna, S.A. de C.V.",New Cor Provac,B-10073-004,ave
"Biológicos Provacuna, S.A. de C.V.",Fluvac H7,B-10073-006,ave
"Biológicos Provacuna, S.A. de C.V.",Fluvac H5,B-10073-007,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Imrab 3Tf,B-6407-015,"can, fel, mustélidos"
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Alurabiffa,B-6407-017,"bov, ovi, cap"
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Rabiffa,B-6407-018,"can, fel"
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Emulvin Plus,B-6407-019,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.","Vacuna Contra la Enfermedad de Marek, Serotipo 3,",B-6407-023,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.","Vacuna Contra Las Enfermedades de Newcastle y Bronquitis, Tipo B1, Cepa B1, Tipos Mass y Conn, Virus Vivo",B-6407-024,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.","Vacuna Contra la Enfermedad de Newcastle, Tipo B1, Cepa Lasota. Virus Activo",B-6407-030,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.","Vacuna Contra la Enfermedad de Marek, Serotipo 2. Virus Activo",B-6407-031,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Vacuna Contra la Enfermedades de la Bolsa y Marek. Serotipo 3. Virus Activo.,B-6407-033,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.","Vacuna Contra la Viruela Aviar, Virus Activo",B-6407-039,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Vacuna Contra la Enfermedad de Marek. Serotipos 2 y 3. Virus Activo.,B-6407-040,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Vacuna Contra la Enfermedad de Marek. Serotipo 1. Virus Activo,B-6407-041,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Avinew,B-6407-045,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Purevax Feline 4,B-6407-057,fel
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Vacuna Contra la Laringotraqueitis Aviar. Virus Activo Modificado,B-6407-058,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.","Vacuna Contra la Bronquitis, Tipo Mass. y Conn. Virus Activo",B-6407-064,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Vacuna Contra Encefalomielitis Aviar y Viruela Aviar. Virus Activo,B-6407-066,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Vacuna Contra Encefalomielitis Aviar. Virus Activo,B-6407-073,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Vacuna Contra la Influenza Aviar-Viruela Aviar. Vector Activo de Viruela Aviar. Subtipo H5,B-6407-077,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Vacuna Contra Las Enfermedades de la Bolsa y de Marek. Serotipo 2 y 3. Virus Activo,B-6407-080,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Vacuna Contra la Enfermedad de Marek. Serotipo 1 y 3. Virus Activo,B-6407-081,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Vacuna Contra Micoplasma Gallisepticum. Cultivo Activo,B-6407-085,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Recombitek C4,B-6407-090,can
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Recombitek C4/Cv,B-6407-091,can
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Recombitek C6,B-6407-092,can
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Recombitek C6/Cv,B-6407-096,can
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Livacox Q,B-6407-100,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Gallimune Nd Day Old,B-6407-110,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Vaxxitek Hvt + Ibd,B-6407-112,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Recombitek C3,B-6407-113,can
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Purevax Rcpch Felv,B-6407-116,fel
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Eurican Pneumo,B-6407-120,can
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Purevax Ferret Distemper,B-6407-124,hur
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Recombitek 4 Lepto,B-6407-125,can
"Boehringer Ingelheim Animal Health México, S.A. de C.V.","Vacuna Contra la Enfermedad de Newcastle, Tipo B1, Cepa B1. Virus Activo",B-6407-128,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Bda Blen,B-6407-129,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Eurican Dhppi2-Lr,B-6407-130,can
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Newxxitek Hvt + Nd,B-6407-131,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Avinew Neo,B-6407-132,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Gallimune Se,B-6407-133,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Gallimune Se + St,B-6407-134,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Gallivac Ib88 Neo,B-6407-135,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Proteqflu-Te,B-6407-137,equ
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Proteqflu,B-6407-138,equ
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Recombitk C7,B-6407-139,can
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Recombitek C8,B-6407-140,can
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Recombitek Oral Bordetella,B-6407-141,can
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Bursa Guard N-B-R,B-6407-142,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Trovac Prime 7,B-6407-144,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Prevexxion Rn,B-6407-145,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Trovac Prime 5,B-6407-146,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Ingelvac Circo Flex,B-6407-150,por
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",3Flex,B-6407-151,por
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Ingelvac Prrs Mlv,B-6407-152,por
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Lepto 5 Citadel,B-6407-153,"bov, por"
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Express Fp 5-Hs,B-6407-154,bov
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Enterisol Ileitis,B-6407-155,por
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Enterisol Salmonella,B-6407-158,por
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Flexcombo,B-6407-159,por
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Lysigin S. Aureus,B-6407-160,bov
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Enterisol Sc-54,B-6407-164,por
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Ingelvac Hp-1,B-6407-165,por
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Ingelvac Mycoflex,B-6407-167,por
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Bovela,B-6407-169,bov
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Ingelvac Provenza,B-6407-170,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Vaxxitek Hvt + Ibd + Ilt,B-6407-172,ave
"Boehringer Ingelheim Animal Health México, S.A. de C.V.",Bioral H120,B-6407-173,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac B.E.S.T. Ai + Nd Kv,B-0171-003,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Ibh + Nd Kv,B-0171-007,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Ac Plus + Nd + Ib + Eds Kv Coriza Infecciosa + Newcastle + Bronquitis + Síndrome de la Baja de Postura / Infectious Coryza + Newcastle + Infectious Bronchitis + Egg Drop Syndrome,B-0171-009,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Bar Vac 10 Ways Con Retigen,B-0171-038,"bov, ovi y cap"
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Gallibacterium + Ac Plus Kv Gallibacterium + Coriza Infecciosa / Infectious Coryza,B-0171-040,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Gallibacterium +Fc +Ndkv,B-0171-042,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Ibd Mlv,B-0171-060,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Ingelvac Appx,B-0171-064,por
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Influenza H7N3 Kv,B-0171-070,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Nd + Ib Kv Newcastle + Bronquitisinfecciosa / Newcastle + Infectious Bronchitis,B-0171-078,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.","Volvac Nd + Ib + Eds Kv, Newcastle + Bronquitis Infecciosa + Síndrome de la Baja de Postura / Newcastle + Infectious Bronchitis + Egg Drop Syndrome",B-0171-081,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Nd Kv Newcastle,B-0171-087,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Ib Mass Mlv,B-0171-088,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.","Volvac Nd Lasota Mlv Newcastle, la Sota",B-0171-090,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Ac Plus Bacterin,B-0171-115,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Nd Conc. Kv,B-0171-118,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Ac Plus Nd Kv,B-0171-119,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Ac Plus Emul Bacterina,B-0171-123,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Nd+Fc Kv,B-0171-124,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",Volvac Ac Plus + Nd + Ib Kv Coriza Infecciosa + Newcastle + Bronquitis Infecciosa/Infectious Coryza + Newcastle + Infectious Bronchitis,B-0171-129,ave
"Boehringer Ingelheim Vetmedica, S.A. de C.V.",J Vac,B-6407-055,bov
"By Productos, S.A. de C.V.",Vac Derriengue,B-0009-001,"bov, ovi, cap, equ"
"Cell & Health de México, S.A.P.I. de C.V.",Tcm-Vet,B-10602-001,"bov, por, ave, can, fel"
"Ceva Salud Animal, S.A. de C.V.",Optimune Aiv/ Nd,B-7378-019,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Ibd L,B-7378-025,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Vitapest L,B-7378-026,ave
