nombre_producto,empresa,uso,num_certificado_o_registro,clasificacion,fecha_registro,fecha_vigencia
Kerastim,"Proveedora de Insumos Acuicolas, S.A de C.V.",Aditivo para la elaboración de alimentos destinados a especies acuícolas.,DGSA-DSAP-CSAUA-004-(3)/2021,aditivo,2021-03-01,2026-03-01
Aox Aqua L,"Norel México, S.A. de C.V.",Aditivo antioxidante destinado para la fabricación de harinas y aceietes de pescado de uso especifico en alimentación de especies acuáticas,DGSA-DSAP-CSAUA-007-(3)/2021,aditivo,2021-03-29,2026-03-29
Grouper 46 R,"Nueva Tecnologia en Alimentación, S.A. de C.V.",Alimento terminado para pez mero en etapa de mantenimiento,A-253/2021-001,alimento,2021-04-07,2026-04-07
Xtru-Dix 00 Plus,"Vimifos, S.A. de C.V.",Alimento balanceado para camarón en etapa de iniación,A-041/2021-001,alimento,2022-10-26,2027-10-26
Xtru-Dix 2 Plus,"Vimifos, S.A. de C.V.",Alimento para camarón en etapa de engorda,A-041/2021-002,alimento,2021-04-07,2026-04-07
Xtru-Dix 3 Plus,"Vimifos, S.A. de C.V.",Alimento para camarón en etapa de engorda,A-041/2021-003,alimento,2021-04-07,2026-04-07
Xtru-Dix 0 Plus,"Vimifos, S.A. de C.V.",Alimento para camarón en etapa de iniación,A-041/2021-004,alimento,2022-10-26,2027-10-26
Xtru-Dix 1 Plus,"Vimifos, S.A. de C.V.",Alimento para camarón ene tapa de iniación,A-041/2021-005,alimento,2022-10-26,2027-10-26
Aquapremiere 2505,"Vimifos, S.A. de C.V.",Alimemto para tilapia y bagre en etapa de finalización,A-035/2014-001,alimento,2021-04-07,2026-04-07
Aquapremiere 3205,"Vimifos, S.A. de C.V.",Alimento Balanceado para Tilapia y Bagre en etapa de engorda,A-041/2012-004,alimento,2021-04-07,2026-04-07
Aquapremiere 3005,"Vimifos, S.A. de C.V.",Alimento balanceado para tilapia y bagre en etapa de engorda,A-035/2020-020,alimento,2021-04-07,2026-04-07
Trucha 4215 Salmonada,"Vimifos, S.A. de C.V.",Alimento flotante para trucha en etapa de finaliación,A-035/2021-004,alimento,2021-04-07,2026-04-07
Stron Breed 45,"Vimifos, S.A. de C.V.",Alimento balanceado para camarones reproductores y/o progenitores,A-035/2021-007,alimento,2021-04-07,2026-04-07
Aquapremiere 4515 Migaja,"Vimifos, S.A. de C.V.",Alimento para Tilapia y bagre en etapa de iniación,A-035/2021-009,alimento,2021-04-07,2026-04-07
Oxy-Block 4B Liquid,Jaime Mauricio Godinez Guerrero,Aditivo de efecto antioxidante,DGSA-DSAP-CSAUA-014-(3)/2021,aditivo,2021-04-12,2026-04-14
Oxynat 50 L,"Norel México, S.A. de C.V.",Aditivo de efecto antioxidante,DGSA-DSAP-CSAUA-015-(3)/2021,aditivo,2021-04-13,2026-04-14
Oxy-Block K2C Liquid,Jaime Mauricio Godinez Guerrero,Aditivo de efecto antioxidante,DGSA-DSAP-CSAUA-008-(3)/2021,aditivo,2021-04-14,2026-04-14
Oxy-Block K2 Liquid,Jaime Mauricio Godinez Guerrero,Aditivo de efecto antioxidante,DGSA-DSAP-CSAUA-009-(3)/2021,aditivo,2021-04-14,2026-04-14
Oxy Gon Powder,Jaime Mauricio Godinez Guerrero,Aditivo de efecto antioxidante,DGSA-DSAP-CSAUA-010-(3)/2021,aditivo,2021-04-14,2026-04-14
Oxy-Gon Liquid,Jaime Mauricio Godinez Guerrero,Aditivo de efecto antioxidante,DGSA-DSAP-CSAUA-011-(3)/2021,aditivo,2021-04-14,2026-04-14
Oxy-Gon Sf Liquid,Jaime Mauricio Godinez Guerrero,Aditivo de efecto antioxidante,DGSA-DSAP-CSAUA-012-(3)/2021,aditivo,2021-04-14,2026-04-14
Oxy-Gon Sf Powder,Jaime Mauricio Godinez Guerrero,Aditivo de efecto antioxidante,DGSA-DSAP-CSAUA-013-(3)/2021,aditivo,2021-04-14,2026-04-14
Apicamaron Extensivo 40% de Proteina,"Malta Texo de México, S.A. de C.V.",alimento balanceado para camarones en la fase de inicio una vez cambiadas en los estanques de engorda aproximadamente hasta 2 g de peso.,A-136/2021-003,alimento,2021-05-24,2026-05-24
Apicamaron Media Mensidad 25% de Proteina,"Malta Texo de México, S.A. de C.V.",alimento balanceado para camarón desde la engorda hasta la cosecha,A-136/2021-016,alimento,2021-05-24,2026-05-24
Lucid Ls 61979Z,"Lucta Mexicana, S.A. de C.V.",Acidificante para el uso en la alimentación acuícola,DGSA-DSAP-CSAUA-017-(3)/2021,aditivo,2021-06-09,2026-06-09
Ecocharger Probiotic Lf-99 Aqua Refill Pack,Quimica Mexicana Industrial S.A de C.V.,"Mezcla de microorganismos vivos que mejora la calidad del agua en los estanques, incrementa las tasas de supervivencia, mejora la conversión alimenticia, reduce desechos causados por la degradación de matería orgánica, aumentando la inmunidad mejorando las poblaciones de la microbiota intestinal.",DGSA-DSAP-CSAUA-016-(3)/2021,aditivo,2021-06-09,2026-06-09
Apicamaron Dinamo 30,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón,A-136/2021-024,alimento,2021-06-17,2026-06-17
Aquabond Lite,"Norel México, S.A. de C.V.",Aditivo compactante-aglomerante para la elaboración de alimento balanceado para especies acuícolas como crustáceos y peces en todas sus etapas reproductivas. Mezclar el producto homogéneamente en el alimento antes del proceso de peletizado,DGSA-DSAP-CSAUA-020-(3)/2021,aditivo,2021-06-28,2026-06-28
Enroqueen 10% Soluble Acua,"Premezclas Veterinarias de Sonora, S.A. de C.V.",Antibiotico,DGSA-DSAP-CSAUA-001-(1)/2016,antibiotico,2021-06-30,2026-06-30
Prevenicol 50% Acua,"Premezclas Veterinarias de Sonora, S.A. de C.V.",Antibiotico,DGSA-DSAP-CSAUA-002-(1)/2016,antibiotico,2021-06-30,2026-06-30
Florfen 10 Acua,"Premezclas Veterinarias de Sonora, S.A. de C.V.",Antibiotico,DGSA-DSAP-CSAUA-003-(1)/2016,antibiotico,2021-06-30,2026-06-30
Prevenicol 2% Acua,"Premezclas Veterinarias de Sonora, S.A. de C.V.",Antibiotico,DGSA-DSAP-CSAUA-009-(1)/2016,antibiotico,2021-06-30,2026-06-30
Enroqueen 5% Acua,"Premezclas Veterinarias de Sonora, S.A. de C.V.",Antibiotico,DGSA-DSAP-CSAUA-011-(1)/2015,antibiotico,2021-06-30,2026-06-30
Enroqueen 10% Acua,"Premezclas Veterinarias de Sonora, S.A. de C.V.",Antibiotico,DGSA-DSAP-CSAUA-012-(1)/2015,antibiotico,2021-06-30,2026-06-30
Oxiqueen 500 Acua,"Premezclas Veterinarias de Sonora, S.A. de C.V.",Antibiotico,DGSA-DSAP-CSAUA-013-(1)/2015,antibiotico,2021-06-30,2026-06-30
Oxiqueen Polvo Soluble Acua,"Premezclas Veterinarias de Sonora, S.A. de C.V.",Antibiotico,DGSA-DSAP-CSAUA-004-(1)/2016,antibiotico,2021-06-30,2026-06-30
Pondplus,"Elanco Salud Animal, S.A. de C.V.","mezcla de bacterias heterotr¢ficas. Biorremediador: degrada la materia org nica de los estanques, mejora la calidad de agua para un balance de fitoplancton y las bacterias naturales ben‚ficas.",DGSA-DSAP-CSAUA-019-(3)/2021,aditivo,2021-08-02,2025-08-02
Aquaform,"Nutryplus, S.A.P.I. de C.V.",Aditivo,DGSA-DSAP-CSAUA-010-(3)-2016,aditivo,2021-08-26,2026-08-26
Ponddtox,"Elanco Salud Animal, S.A. de C.V.",Elimina el Sulfuro de HidrOgeno TOxico aplicandolo durante la preparacion de los estanques y durante el ciclo de engorda.,DGSA-DSAP-CSAUA-018-(3)/2021,aditivo,2021-08-31,2025-08-31
Dermo Gard Aqua,"Laboratorio Avi-Mex, S.A. de C.V.","antiparasitario y protector cut neo para peces. Salmon, lisas, sabalote, lenguado, lobinas, truchas, tilapia, carpa",DGSA-DSAP-CSAUA-010-(2)/2015,medicamento veterinario,2021-09-01,2026-09-01
Aquapremiere Strong Breed 3806,"Vimifos, S.A. de C.V.",alimento para tilapias y bagre en etapa de engorda,A-035-2021-016,alimento,2021-10-25,2026-10-25
Oromar Camaron 30,"Alimentos Oromar, S.A. de C.V.",Alimento para camarón,A-314/2021-003,alimento,2021-10-25,2026-10-25
Oromar Camaron 35,"Alimentos Oromar, S.A. de C.V.",Alimento para camarón,A-314/2021-002,alimento,2021-10-25,2026-10-25
Oromar Camaron 40,"Alimentos Oromar, S.A. de C.V.",Aditivo,A-314/2021-001,alimento,2021-10-25,2026-10-25
Desarollo 1.5 Mm 45%,"Agribrands Purina México, S.De R.L. de C.V.",Alimento para peces en etapa de desarrollo,A-063/2021-002,alimento,2021-11-22,2026-11-22
Aquaxcel Mw 352 Grower M,"Agribrands Purina México, S.De R.L. de C.V.",Alimento balanceado para camarón,A-063/2021-001,alimento,2021-11-22,2026-11-22
Aquaxcel Mw 353 Grower M,"Agribrands Purina México, S.De R.L. de C.V.",Alimento balanceado para camarones,A-063-2021-003,alimento,2021-11-22,2026-11-22
Aquaxcel Mw 354 Starter M,"Agribrands Purina México, S.De R.L. de C.V.",alimento para camarón,A-063-2021-004,alimento,2021-11-22,2026-11-22
Optimax,"Insumos Pecuarios del Sureste, S.A. de C.V.",ADITIVO,DGSA-DSAP-CSAUA-021-(3)/2021,aditivo,2021-11-24,2026-11-24
Ultrabond,"Insumos Pecuarios del Sureste, S.A. de C.V.",ADITIVO,DGSA-DSAP-CSAUA-022-(3)/2021,aditivo,2021-11-24,2026-11-24
Bedgen 40 Aqua,"Bedemex, S.A. de C.V.",Aditivo,DGSA-DSAP-CSAUA-023-(3)/2021,aditivo,2021-11-26,2026-11-26
Aqua Pack,"Ranger By Product, S.A. de C.V.",Suplemento proteico cuyo perfil nutricional esta diseñado para cubrir los requerimientos de proteína en la alimentación de animales acuáticos dutante sus diferentes etapas productivas,DGSA-DSAP-CSAUA-024-(3)/2021,aditivo,2021-12-13,2026-12-13
Aqua Bond,"Norel México, S.A. de C.V.",Aditivo compactante para la elaboración de alimetos balanceados peletizados para especies acuáticas,DGSA-DSAP-CSAUA-013-(3)/2016,aditivo,2022-01-17,2027-01-17
Natural Force 35,"Vimifos, S.A. de C.V.",Alimento para camarones del genero Litopenaeus vannamei,A-035/2022-008,alimento,2022-03-02,2027-03-02
Natural Force 30,"Vimifos, S.A. de C.V.",Alimento para camarones en etapa de inicio y engorda,A-035/2022-007,alimento,2022-03-02,2027-03-02
Natural Force Micro 35 Oxi,"Vimifos, S.A. de C.V.","Alimento medicado con oxitetraciclina para el tratamiento de enfermedades causadas por bacterias del género Lactococcus spp., Aeromonas spp., y Vibrio spp.para tilapia (Oreochromis sp.) en etapa de finalización. Administrar durante 14 dás. para las recomendaciones de uso consule al medico veterinario.",AM-041/2022-001,alimento medicado,2022-03-02,2027-03-02
Aquapremiere 2505 Oxi,"Vimifos, S.A. de C.V.",Aditivo,AM-035/2022-001,alimento medicado,2022-03-02,2027-03-02
Aquapremiere 3205 Ff,"Vimifos, S.A. de C.V.",Alimento medicado con florfenicol para tilapia y bagre en etapa de engorda,AM-035/2022-004,alimento medicado,2022-03-02,2027-03-02
Aquapremiere 3005 Oxi,"Vimifos, S.A. de C.V.",Alimento medicado con oxitetraciclna para tilapia en etapa de engorda,AM-035/2022-005,alimento medicado,2022-03-02,2027-03-02
Aquapremiere 3005 Ff,"Vimifos, S.A. de C.V.",Alimento medicado con flofenicol para el tratamiento de bacterias Gram positivas y Gram negativas para tilapia (Oreochromis sp) y bagre (Ictaluras sp) en la etapa de engorda. administrado durante 12 días para las recomendaciones de uso consulte al médico veterinario,AM-035/2022-006,alimento medicado,2022-03-02,2027-03-02
Aquapremiere 3205 Oxi,"Vimifos, S.A. de C.V.",Alimento medicado con oxitetraciclina para tilapia en etapa de engorda,AM-035/2022-002,alimento medicado,2022-03-02,2027-03-02
Aquapremiere 2505 Ff,"Vimifos, S.A. de C.V.",Alimento medicado con florfenicol para el tratamiento de bacterias Garm positivas y Gram negativas para tilapia (Oreochromis sp.) y Bagre (Ictalurus sp.) en etapa de finalización. administrar durante 12 días. para las recomendaciones de uso consulte al medico veterinario.,AM-035/2022-003,alimento medicado,2022-03-02,2027-03-02
Growfish Tilapia Regal Engorda 32%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado formulado para cubrir los requerimientos de las tilapias durante la etapa de engorda de 70 a 100 g de peso.,A-136/2022-004,alimento,2022-03-03,2027-03-03
Veterin 50%,"Virbac Mexico, S.A. de C.V.",Antibiotico de amplio espectro para tilapias,DGSA-DSAP-CSAUA-001-(2)/2022,antibiotico,2022-03-03,2027-03-03
Bio-Mos,"Alltech México, S.A. de C.V.","Aditivo alimenticio para uso en acuacultura, mejorando digestion, absorbiendo nutrientes, favorece el crecimiento de los organismos",DGSA-DSAP-CSAUA-002-(3)/2022,aditivo,2022-03-04,2027-03-04
Sel-Plex,"Alltech México, S.A. de C.V.",Aditivo alimenticio para uso en acuacultura,DGSA-DSAP-CSAUA-003-(3)/2022,aditivo,2022-03-04,2027-03-04
Nupro,"Alltech México, S.A. de C.V.",Aditivo alimentciio para uso en acuacultura,DGSA-DSAP-CSAUA-004-(3)/2022,aditivo,2022-03-04,2027-03-04
Pexcitetra Premix,"Pecuarius Laboratorios, S.A. de C.V.","Tratamiento para enfermedades en camar¢n, tratamientoy control de bacterias intracelulares del tipo Rickettsia, causantes de la hepatopancreatitis necrotizante (NHP), as¡ como bacterias Gram negativas, tales como Vibrio spp. y Aeromonas spp.",DGSA-DSAP-CSAUA-005-(1)/2022,antibiotico,2022-03-23,2027-03-23
Nf Aquavim 35% Starter,"Vimifos, S.A. de C.V.",Alimento para camarón ene tapa de engorda,A-035/2022-010,alimento,2022-05-19,2027-05-19
Nf Aquavim 35%,"Vimifos, S.A. de C.V.",alimento para camaron en etapa de engorda,A-035/2022-009,alimento,2022-05-19,2027-05-19
