agreement,tariffCode,type,thresholdPercent,requiredProcess,preferentialRatePercent,preferentialRateUnit,sourceUrl,sourceVersion,validFrom,validTo
T-MEC,0101.21.01,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/t-mec/acciones-y-programas/centro-de-consulta-tmec,T-MEC-2026.1,2026-01-01,
TLCUEM,0101.21.01,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/sre/acciones-y-programas/tratado-de-libre-comercio-mexico-union-europea-tlcuem,TLCUEM-2026.1,2026-01-01,
T-MEC,0101.29.02,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/t-mec/acciones-y-programas/centro-de-consulta-tmec,T-MEC-2026.1,2026-01-01,
TLCUEM,0101.29.02,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/sre/acciones-y-programas/tratado-de-libre-comercio-mexico-union-europea-tlcuem,TLCUEM-2026.1,2026-01-01,
T-MEC,0101.29.03,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/t-mec/acciones-y-programas/centro-de-consulta-tmec,T-MEC-2026.1,2026-01-01,
TLCUEM,0101.29.03,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/sre/acciones-y-programas/tratado-de-libre-comercio-mexico-union-europea-tlcuem,TLCUEM-2026.1,2026-01-01,
T-MEC,0101.29.99,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/t-mec/acciones-y-programas/centro-de-consulta-tmec,T-MEC-2026.1,2026-01-01,
TLCUEM,0101.29.99,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/sre/acciones-y-programas/tratado-de-libre-comercio-mexico-union-europea-tlcuem,TLCUEM-2026.1,2026-01-01,
T-MEC,0101.30.01,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/t-mec/acciones-y-programas/centro-de-consulta-tmec,T-MEC-2026.1,2026-01-01,
TLCUEM,0101.30.01,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/sre/acciones-y-programas/tratado-de-libre-comercio-mexico-union-europea-tlcuem,TLCUEM-2026.1,2026-01-01,
T-MEC,0101.90.99,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/t-mec/acciones-y-programas/centro-de-consulta-tmec,T-MEC-2026.1,2026-01-01,
TLCUEM,0101.90.99,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/sre/acciones-y-programas/tratado-de-libre-comercio-mexico-union-europea-tlcuem,TLCUEM-2026.1,2026-01-01,
T-MEC,0102.21.01,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/t-mec/acciones-y-programas/centro-de-consulta-tmec,T-MEC-2026.1,2026-01-01,
TLCUEM,0102.21.01,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/sre/acciones-y-programas/tratado-de-libre-comercio-mexico-union-europea-tlcuem,TLCUEM-2026.1,2026-01-01,
T-MEC,0102.29.01,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/t-mec/acciones-y-programas/centro-de-consulta-tmec,T-MEC-2026.1,2026-01-01,
TLCUEM,0102.29.01,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/sre/acciones-y-programas/tratado-de-libre-comercio-mexico-union-europea-tlcuem,TLCUEM-2026.1,2026-01-01,
T-MEC,0102.29.02,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/t-mec/acciones-y-programas/centro-de-consulta-tmec,T-MEC-2026.1,2026-01-01,
TLCUEM,0102.29.02,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/sre/acciones-y-programas/tratado-de-libre-comercio-mexico-union-europea-tlcuem,TLCUEM-2026.1,2026-01-01,
T-MEC,0102.29.99,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/t-mec/acciones-y-programas/centro-de-consulta-tmec,T-MEC-2026.1,2026-01-01,
TLCUEM,0102.29.99,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/sre/acciones-y-programas/tratado-de-libre-comercio-mexico-union-europea-tlcuem,TLCUEM-2026.1,2026-01-01,
T-MEC,0102.31.01,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/t-mec/acciones-y-programas/centro-de-consulta-tmec,T-MEC-2026.1,2026-01-01,
TLCUEM,0102.31.01,CTC,,Totalmente obtenido en territorio de las Partes,0.0,EXEMPT,https://www.gob.mx/sre/acciones-y-programas/tratado-de-libre-comercio-mexico-union-europea-tlcuem,TLCUEM-2026.1,2026-01-01,
