countryCode,code,nico,description,generalRate,rateUnit,validFrom,validTo,sourceVersion,sourceUrl
MX,0101.21.01,00,Reproductores de raza pura.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0101.29.02,00,"Sin pedigree, para reproducción.",,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0101.29.03,00,"Para abasto, cuando la importación la realicen empacadoras Tipo Inspección Federal.",,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0101.29.99,01,Para saltos o carreras.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0101.29.99,99,Los demás.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0101.30.01,00,Asnos.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0101.90.99,00,Los demás.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0102.21.01,00,Reproductores de raza pura.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0102.29.01,00,Vacas lecheras.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0102.29.02,00,"Con pedigree o certificado de alto registro, excepto lo comprendido en la fracción arancelaria 0102.29.01.",,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0102.29.99,00,Los demás.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0102.31.01,00,Reproductores de raza pura.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0102.39.99,00,Los demás.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0102.90.99,00,Los demás.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0103.10.01,00,Reproductores de raza pura.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0103.91.01,00,Con pedigree o certificado de alto registro.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0103.91.99,00,Los demás.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0103.92.01,00,Con pedigree o certificado de alto registro.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0103.92.99,00,Los demás.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0104.10.01,00,Con pedigree o certificado de alto registro.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0104.10.99,01,Para abasto.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0104.10.99,99,Los demás.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0104.20.01,00,Con pedigree o certificado de alto registro.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0104.20.02,00,Borrego cimarrón.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0104.20.99,00,Los demás.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0105.11.03,01,Aves reproductoras de la línea de postura.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
MX,0105.11.03,02,Aves reproductoras de la línea de engorda.,,,2024-04-04,,SNICE-NICO-2024-04,https://www.snice.gob.mx/~oracle/SNICE_DOCS/NICO-MARZO24-LIGIE_20240404-20240404.XLSX
